Agent Name,Rating,Delivery Time (min),Location,Order Type,Customer Feedback Type,Price Range,Discount Applied,Product Availability,Customer Service Rating,Order Accuracy
Zepto,4.5,58,Delhi,Essentials,Neutral,High,Yes,Out of Stock,4,Incorrect
Zepto,2.1,25,Lucknow,Grocery,Negative,Low,No,Out of Stock,2,Correct
JioMart,4.5,54,Ahmedabad,Essentials,Neutral,Low,No,Out of Stock,3,Correct
JioMart,2.6,22,Chennai,Essentials,Neutral,Low,Yes,In Stock,1,Incorrect
Zepto,3.6,34,Pune,Pharmacy,Positive,High,No,In Stock,2,Incorrect
Blinkit,1.9,43,Lucknow,Electronics,Positive,Medium,Yes,Out of Stock,3,Correct
Blinkit,3.3,46,Lucknow,Essentials,Negative,High,Yes,In Stock,3,Incorrect
Blinkit,1.5,20,Jaipur,Food,Negative,Medium,Yes,Out of Stock,3,Correct
Zepto,2.8,10,Jaipur,Essentials,Positive,High,No,In Stock,4,Incorrect
JioMart,2.5,32,Delhi,Food,Negative,Low,Yes,In Stock,3,Incorrect
Zepto,2.5,17,Ahmedabad,Essentials,Negative,High,No,Out of Stock,3,Incorrect
Swiggy Instamart,2.9,59,Jaipur,Pharmacy,Positive,High,No,In Stock,1,Correct
JioMart,4.6,15,Delhi,Food,Neutral,High,No,Out of Stock,2,Incorrect
JioMart,2.6,24,Delhi,Essentials,Negative,High,Yes,Out of Stock,3,Incorrect
Blinkit,3.6,59,Jaipur,Pharmacy,Negative,High,Yes,Out of Stock,5,Incorrect
Zepto,1.8,49,Delhi,Grocery,Negative,Medium,No,In Stock,5,Incorrect
Zepto,3.8,15,Pune,Grocery,Neutral,Medium,Yes,In Stock,5,Correct
Zepto,2,54,Mumbai,Food,Positive,Low,No,Out of Stock,1,Correct
JioMart,4.7,51,Kolkata,Essentials,Negative,High,Yes,Out of Stock,5,Incorrect
Blinkit,3.6,12,Hyderabad,Pharmacy,Negative,Medium,Yes,In Stock,5,Correct
Zepto,2.3,58,Delhi,Electronics,Positive,Medium,Yes,In Stock,1,Incorrect
Swiggy Instamart,3.8,51,Bangalore,Grocery,Negative,Medium,No,Out of Stock,2,Correct
JioMart,1.9,32,Jaipur,Essentials,Neutral,Medium,Yes,Out of Stock,2,Incorrect
Zepto,2.2,12,Hyderabad,Essentials,Positive,Low,Yes,In Stock,5,Correct
JioMart,1.1,58,Mumbai,Food,Neutral,Medium,No,Out of Stock,4,Correct
Blinkit,1.3,33,Ahmedabad,Essentials,Negative,Medium,Yes,In Stock,3,Incorrect
Swiggy Instamart,4.6,14,Hyderabad,Essentials,Neutral,Medium,No,Out of Stock,5,Incorrect
Blinkit,4.8,53,Delhi,Food,Positive,High,No,Out of Stock,4,Correct
Zepto,2.2,60,Bangalore,Food,Negative,High,No,In Stock,5,Correct
Blinkit,2.4,55,Lucknow,Food,Positive,Medium,Yes,In Stock,2,Correct
Zepto,3.8,53,Ahmedabad,Pharmacy,Negative,Low,No,In Stock,5,Incorrect
Swiggy Instamart,1.5,54,Chennai,Pharmacy,Negative,Low,No,Out of Stock,4,Correct
Blinkit,1.6,10,Pune,Grocery,Negative,High,Yes,In Stock,4,Correct
Zepto,4.7,38,Lucknow,Grocery,Positive,Medium,No,Out of Stock,2,Correct
JioMart,1.8,48,Chennai,Grocery,Positive,Low,Yes,Out of Stock,5,Incorrect
Zepto,2.4,10,Delhi,Food,Positive,High,Yes,Out of Stock,4,Correct
JioMart,3.4,37,Delhi,Essentials,Neutral,Low,No,In Stock,4,Incorrect
Blinkit,2.4,47,Jaipur,Pharmacy,Positive,Low,No,In Stock,1,Correct
Zepto,2.5,41,Hyderabad,Grocery,Positive,High,No,In Stock,1,Incorrect
Swiggy Instamart,3.1,39,Hyderabad,Food,Negative,Low,No,In Stock,5,Correct
JioMart,4.3,19,Pune,Electronics,Neutral,Low,No,Out of Stock,3,Correct
Zepto,2.3,43,Ahmedabad,Food,Positive,Medium,Yes,In Stock,5,Incorrect
Blinkit,4.3,38,Lucknow,Essentials,Neutral,Medium,Yes,Out of Stock,4,Incorrect
Zepto,4.7,38,Bangalore,Pharmacy,Positive,High,Yes,In Stock,1,Incorrect
Zepto,2.2,35,Pune,Pharmacy,Neutral,High,No,In Stock,1,Incorrect
Blinkit,2.6,24,Ahmedabad,Electronics,Neutral,Medium,Yes,In Stock,1,Correct
Zepto,3.6,48,Lucknow,Grocery,Positive,High,Yes,In Stock,3,Incorrect
Blinkit,2.7,30,Kolkata,Grocery,Negative,High,Yes,Out of Stock,5,Correct
Blinkit,2.6,30,Hyderabad,Grocery,Positive,Low,No,In Stock,4,Correct
Zepto,2.8,11,Kolkata,Food,Negative,Low,Yes,In Stock,5,Incorrect
Zepto,3.7,19,Chennai,Food,Negative,Medium,No,In Stock,1,Incorrect
Zepto,3.8,25,Jaipur,Grocery,Negative,High,Yes,In Stock,2,Incorrect
Zepto,3.6,30,Hyderabad,Essentials,Neutral,Medium,No,Out of Stock,4,Incorrect
JioMart,3.4,23,Jaipur,Grocery,Neutral,Low,Yes,In Stock,4,Incorrect
Swiggy Instamart,4.6,50,Kolkata,Grocery,Negative,Medium,Yes,Out of Stock,2,Incorrect
Blinkit,3,36,Hyderabad,Food,Positive,Low,Yes,Out of Stock,1,Correct
Blinkit,3.9,50,Jaipur,Electronics,Positive,Medium,No,In Stock,3,Correct
JioMart,3.7,41,Hyderabad,Grocery,Negative,Medium,Yes,Out of Stock,5,Correct
Swiggy Instamart,3.6,15,Lucknow,Pharmacy,Negative,High,Yes,In Stock,1,Correct
Swiggy Instamart,4.8,23,Lucknow,Pharmacy,Negative,High,Yes,Out of Stock,2,Incorrect
Zepto,3.7,53,Delhi,Food,Neutral,Low,No,Out of Stock,4,Incorrect
